Club,Title,Date,Time,Artists,Genre,Description,Venue,Ticket URL,Event URL,Score
Nordstern,Flying Mystic,2025-12-26,23:00,,psytrance,☰ PSYCHEDELIC FLOOR (Main) ▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀ ✦ AARDVARKK ✦ (Bom Shanka Music) -UK- www.instagram.com/aardvarkkoffical_ www.soundcloud.com/aardvark-368122317 ✦ FUTURE MOON ✦ (Digital Om Records) -DE- www.instagram.com/futuremoon_music www.soundcloud.com/djfuturemoon_official ✦ JUMPSTREET ✦ (Looney Moon Records) -CH- www.instagram.com/jumpstreetlooney www.soundcloud.com/jumpstreetlooney ✦ RUGRATS ✦ (Looney Moon Records) -CH- www.facebook.com/jumpstreetlooney www.soundcloud.com/rugratsmusic...,,https://eventfrog.ch/de/p/party/goa/the-flying-mystic-nord-7386042731989042759.html,https://eventfrog.ch/de/p/party/goa/the-flying-mystic-nord-7386042731989042759.html,13
Nordstern,NYE mit Hut & Brille,2025-12-31,23:00,,trance,"Join us on two floors for the most spectacularly-spectacled and hat-tastic countdown of the year! The motto is simply: ""Mit Hut und Brille."" Your mission: Don your most magnificent hat and your most captivating glasses (sunglasses, reading specs, goggles, monocle... get creative!). No exceptions! This is your chance to frame your face for fame and crown your commitment to fun. Expect brilliant tunes, dazzling company, and an unforgettable entrance into the new year. Let's start the year with a c...",,https://tickets.nordstern.com/events/nye-mit-hut-und-brille,https://tickets.nordstern.com/events/nye-mit-hut-und-brille,13
Nordstern,All Night Long,2026-03-07,23:00,,nordstern,"Sebastian Konrad, a whirlwind of energy and charisma, burst onto the scene in 2016, captivating audiences in Switzerland and beyond with his impeccable selections. His productions pulse with a driving force, mirroring the energy he brings to the decks.",,https://nordstern.shop.bookinea.app/en/c/sebastian-konrad-all-night-long-1375,https://nordstern.shop.bookinea.app/en/c/sebastian-konrad-all-night-long-1375,13
Nordstern,Unreal Basel,2026-03-27,20:00,,bass,"Unreal Germany returns to Basel! The architectural embrace of Messe Basel will be transformed into a boiling pot of bass and strobes. Location: Event Halle, Messe Basel",,https://nordstern.shop.bookinea.app/de/c/unreal-basel-1115,https://nordstern.shop.bookinea.app/de/c/unreal-basel-1115,13
Nordstern,Moving City,2026-03-28,20:00,,movingFestival,,,https://nordstern.shop.bookinea.app/de/c/moving-city-basel-1116,https://nordstern.shop.bookinea.app/de/c/moving-city-basel-1116,13
Nordstern,Apollon Day One,2026-07-24,14:00,,apollon,Between Antiquity and Modernity: Two days in Augusta Raurica,,https://nordstern.shop.bookinea.app/de/c/apollon-at-theater-augusta-raurica-1253,https://nordstern.shop.bookinea.app/de/c/apollon-at-theater-augusta-raurica-1253,13
Nordstern,Apollon Day Two,2026-07-25,14:00,,apollon,Between Antiquity and Modernity: Two days in Augusta Raurica,,https://nordstern.shop.bookinea.app/de/c/apollon-at-theater-augusta-raurica-1253,https://nordstern.shop.bookinea.app/de/c/apollon-at-theater-augusta-raurica-1253,13
Bassoverse,Event 5.12.2025,2025-12-05,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 6.12.2025,2025-12-06,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 12.12.2025,2025-12-12,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 13.12.2025,2025-12-13,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 20.12.2025,2025-12-20,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 22.12.2025,2025-12-22,,,,,,,https://www.bassoverse.space/beats,12
Elysia,Event 31/12/2025,2025-12-31,,,,,,,https://www.elysia.ch/,12
Bassoverse,Event 9.1.2026,2026-01-09,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 10.1.2026,2026-01-10,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 7.2.2026,2026-02-07,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 7.3.2026,2026-03-07,,,,,,,https://www.bassoverse.space/beats,12
Bassoverse,Event 11.4.2026,2026-04-11,,,,,,,https://www.bassoverse.space/beats,12
